# 異体字（旧字体・許容字体）→ 正規形（新字体・常用漢字）変換マップ（既定）
#
# 用途:
#   JaAddressOptions.FoldItaiji = true のとき、AddressService が
#   「入力住所文字列」と「住所辞書（都道府県・市区町村・町字）の名称」の
#   双方にこのマップを適用してから前方一致照合を行う。
#   これにより「須惠町」(惠 U+60E0) と「須恵町」(恵 U+6075) のような
#   字体の揺れを吸収する。NFKC 正規化では畳み込まれない。
#
# 書式:
#   1 行 1 対。<変換元><TAB><変換先>。
#   変換元・変換先はいずれも「1 文字」であること（サロゲートペア可。
#   ただし文字数が変わる変換は住所のオフセット計算を壊すため不可）。
#   '#' で始まる行と空行は無視する。同じ変換元が複数回現れた場合は後勝ち。
#
# 利用者による追加:
#   - JaAddressOptions.ItaijiMapPath に任意の TSV ファイルパスを指定
#   - データディレクトリ直下に itaiji.local.tsv を置く
#   - JaAddressOptions.AdditionalItaiji にコードから追加
#   いずれもこの既定マップにマージされ、既定より優先される。
#
# 注意:
#   地名の正式表記が旧字体である自治体（例: 龍ケ崎市・鹿嶋市・飯舘村）も
#   本マップで畳み込まれるが、辞書側の名称も同時に畳み込むため照合は壊れない
#   （出力される City.Name / Town.Name は畳み込み後の表記になる点に留意）。

惠	恵
舘	館
澤	沢
濱	浜
濵	浜
廣	広
壽	寿
齋	斎
齊	斉
邊	辺
邉	辺
冨	富
嶋	島
嵜	崎
﨑	崎
峯	峰
曾	曽
假	仮
圓	円
龍	竜
瀧	滝
瀨	瀬
髙	高
國	国
藏	蔵
榮	栄
淺	浅
眞	真
驛	駅
稻	稲
穗	穂
豐	豊
彌	弥
條	条
靜	静
濟	済
淨	浄
增	増
郞	郎
莊	荘
